発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ
1990-09-21,-,5,SHT,NECアベニュー,ダライアスプラス,"￥9,800","￥10,000代",0,1
1990-09-21,-,4,ACT,ハドソン,桃太郎活劇(Vol.32),"￥6,500","￥6,500代",0,1
1990-09-28,-,4,SHT,NECアベニュー,アフターバーナーII,"￥7,200","￥7,000代",0,1
1990-09-28,-,3,ACT,UPL,ゴモラスピード(Vol.2),"￥6,700","￥6,500代",0,1
1990-09-28,-,2,ACT,パックインビデオ,ダイハード,"￥6,200","￥6,000代",0,1
1990-09-28,-,3,SHT,ナグザット,ダブルリング,"￥6,300","￥6,500代",0,1
1990-09-28,-,3,SHT,ナムコ,ファイナルブラスター,"￥6,800","￥7,000代",0,1
1990-10-12,-,4,ACT,サンソフト,BATMAN,"￥6,500","￥6,500代",0,1
1990-10-12,30,4,RPG,トンキンハウス,サイバーナイト,"￥6,800","￥7,000代",0,1
1990-10-19,-,3,SHT,ビデオシステム,ラビオレプススペシャル,"￥6,800","￥7,000代",0,1
1990-10-26,-,2,PUZ,フェイス,琉球,"￥5,400","￥5,500代",0,1
1990-11-02,30,4,SHT,ハドソン,エアロブラスターズ(Vol.33),"￥6,500","￥6,500代",0,1
1990-11-09,-,4,SPT,トンキンハウス,カットビ宅配くん,"￥6,780","￥7,000代",0,1
1990-11-23,-,3,SPT,メサイヤ,キックボール,"￥6,200","￥6,000代",0,1
1990-12-07,-,4,SHT,NECアベニュー,サンダーブレード,"￥7,200","￥7,000代",0,1
1990-12-07,-,3,SHT,ナグザット,バーニングエンジェル,"￥6,700","￥6,500代",0,1
1990-12-07,-,2,ACT,ハドソン,ボンバーマン(Vol.34),"￥5,300","￥5,500代",0,1
1990-12-11,-,2,ACT,ナムコ,メルヘンメイズ,"￥5,500","￥5,500代",0,1
1990-12-14,-,2,PUZ,パックインビデオ,ZIPANG,"￥6,200","￥6,000代",0,1
1990-12-14,-,2,PUZ,メディアリング,スピンペア,"￥5,900","￥6,000代",0,1
1990-12-14,-,3,SPT,タイトー,チャンピオンレスラー,"￥6,600","￥6,500代",0,1
1990-12-14,-,2,SHT,ビクター音楽産業,トイショップボーイズ,"￥6,200","￥6,000代",0,1
1990-12-14,-,3,SHT,I.G.S.,バイオレントソルジャー,"￥6,400","￥6,500代",0,1
1990-12-14,-,3,SPT,メサイヤ,ワラビー!!,"￥6,500","￥6,500代",0,1
1990-12-14,-,4,SHT,NECアベニュー,大旋風,"￥7,200","￥7,000代",0,1
1990-12-19,-,3,ACT,フェイス,不思議の夢のアリス,"￥6,400","￥6,500代",0,1
1990-12-21,-,4,RAC,NECアベニュー,アウトラン,"￥7,200","￥7,000代",0,1
1990-12-21,-,4,ACT,フェイス,クロスワイバー,"￥6,700","￥6,500代",0,1
1990-12-21,-,3,SHT,エイコム,天聖龍,"￥7,200","￥7,000代",0,1
1990-12-21,-,3,ACT,ナグザット,魔界プリンスどらぼっちゃん,"￥6,700","￥6,500代",0,1
1990-12-22,30,5,RPG,ハドソン,桃太郎伝説II(Vol.35),"￥7,200","￥7,000代",0,1
1991-01-08,31,2,SHT,データイースト,オーバーライド,"￥6,500","￥6,500代",0,1
1991-01-18,-,3,A-PRG,タイトー,カダッシュ,"￥6,500","￥6,500代",0,1
1991-01-18,-,4,ACT,ハドソン,ジャッキーチェン(Vol.36),"￥6,500","￥6,500代",0,1
1991-01-25,-,4,RAC,タイトー,S.C.I.,"￥7,200","￥7,000代",0,1
1991-02-15,-,3,ACT,タイトー,パラソルスター,"￥6,600","￥6,500代",0,1
1991-02-22,-,6,SHT,ハドソン,オルディネス,"￥9,800","￥10,000代",0,1
1991-02-22,-,2,PUZ,RIOT,パズルボーイ,"￥6,400","￥6,500代",0,1
1991-02-28,-,4,SHT,T.S.S.,デッドムーン,"￥7,400","￥7,500代",0,1
1991-03-01,32,2,SPT,ヒューマン,ファイナルマッチテニス,"￥5,700","￥5,500代",0,1
1991-03-08,-,4,RAC,メディアリング,ゼロヨンチャンプ,"￥6,900","￥7,000代",0,1
1991-03-15,-,4,ACT,ナムコ,おぼっちゃまくん,"￥6,800","￥7,000代",0,1
1991-03-15,-,2,PUZ,ナグザット,タイタン,"￥5,900","￥6,000代",0,1
1991-03-15,-,4,ACT,アイレム,レジェンドオブヒーロートンマ(Vol.5),"￥7,000","￥7,000代",0,1
1991-03-21,-,2,SPT,ナムコ,プロ野球ワールドスタジアム'91,"￥5,800","￥6,000代",0,1
1991-03-22,-,4,SHT,ナグザット,1943改,"￥7,200","￥7,000代",0,1
1991-03-29,-,3,SPT,ビクター音楽産業,TVスポーツフットボール,"￥6,700","￥6,500代",0,1
1991-03-29,-,1,PUZ,レーザーソフト,コラムス,"￥6,400","￥6,500代",0,1
1991-03-29,-,4,SHT,データイースト,サイレントデバッガーズ,"￥6,800","￥7,000代",0,1
1991-03-29,-,3,RAC,メサイヤ,モトローダーII,"￥6,500","￥6,500代",0,1
1991-04-05,-,4,SLG,ハドソン,ポピュラス(Vol.37),"￥7,800","￥8,000代",0,1
1991-04-06,-,2,A-PUZ,ユニポスト,サーカスライド,"￥5,400","￥5,500代",0,1
1991-04-12,-,3,SHT,ナグザット,エターナルシティ都市転送計画,"￥6,900","￥7,000代",0,1
1991-04-19,-,2,ACT,ハドソン,アドベンチャーアイランド(Vol.38),"￥5,300","￥5,500代",0,1
1991-04-27,-,4,ACT,メサイヤ,改造町人シュビビンマン2～新たなる敵～,"￥6,600","￥6,500代",0,1
1991-05-24,-,1,PUZ,マイクロキャビン,ハットリス,"￥5,800","￥6,000代",0,1
1991-06-21,-,3,SPT,ハドソン,パワーイレブン(Vol.39),"￥5,800","￥6,000代",0,1
1991-07-05,-,4,SHT,ハドソン,ファイナルソルジャー(Vol.40),"￥6,500","￥6,500代",0,1
1991-07-06,-,2,A-PUZ,I.G.S.,トリッキー,"￥6,700","￥6,500代",0,1
1991-07-12,-,4,RAC,ニチブツ,F1サーカス'91,"￥6,900","￥7,000代",0,1
1991-07-19,-,4,ACT,ハドソン,PC原人2(Vol.41),"￥6,500","￥6,500代",0,1
1991-07-19,-,4,RAC,アイレム,レーシング魂(Vol.6),"￥7,000","￥7,000代",0,1
1991-07-21,-,4,SHT,フェイス,メタルストーカー,"￥6,980","￥7,000代",0,1
1991-08-02,-,2,A-PUZ,ビクター音楽産業,スクウィーク,"￥6,400","￥6,500代",0,1
1991-08-09,-,4,SHT,タイトー,はなたーかだか!?,"￥7,200","￥7,000代",0,1
