稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント
1995-07-01,AC,ST-V,,SEGA,エジホン探偵事務所,セガ（AM1研）,0,0
1995-07-01,AC,ST-V,,SEGA,ファイナルアーチ（英語版）,セガ（AM1研）,0,0
1995-08-01,AC,ST-V,,SEGA,スポーツフィッシング2（英語版）,セガ（メカトロ研）,0,0
1995-08-01,AC,モデル2,FTG,SEGA,バーチャファイター2.1,セガ（AM2研）,0,0
1995-09-01,AC,モデル2,,SEGA,バーチャコップ2,セガ（AM2研）,0,0
1995-10-01,AC,モデル2,,SEGA,スカイターゲット,セガ（AM1研）,0,0
1995-11-01,AC,ST-V,,SEGA,タタコット,セガ（AM1研）,0,0
1995-11-01,AC,モデル2,,SEGA,ファイティングバイパーズ,セガ（AM2研）,0,0
1995-11-01,AC,モデル2,,SEGA,マンクスTT,セガ（AM3研）,0,0
1995-11-01,AC,ST-V,,SEGA,サンドアール,セガ（AM1研）,0,0
1996-01-01,AC,モデル2,FTG-3D,SEGA,電脳戦機バーチャロン,セガ（AM3研）,0,0
1996-02-01,AC,ST-V,,SEGA,ファンキーヘッドボクサーズ（英語版）,セガ（AM3研）,0,0
1996-03-01,AC,ST-V,FTG,SEGA,バーチャファイターキッズ,セガ（AM2研）,0,0
1996-03-01,AC,ST-V,,SEGA,ペブルビーチ ザ・グレートショット,T&Eソフト,0,0
1996-04-01,AC,モデル2,,SEGA,ガンブレードN.Y.,セガ（AM3研）,0,0
1996-05-01,AC,ST-V,,SEGA,デカスリート,セガ（AM3研）,0,0
1996-05-01,AC,モデル2,,SEGA,ソニック・ザ・ファイターズ,セガ（AM2研）,0,0
1996-06-01,AC,モデル2,,SEGA,ラストブロンクス -東京番外地-,セガ（AM3研）,0,0
1996-06-01,AC,ST-V,,SEGA,カラオケクイズ イントロDonDon,サンソフト、サクセス,0,0
1996-07-01,AC,ST-V,,SEGA,ダイナマイト刑事,セガ（AM1研）,0,0
1996-08-01,AC,モデル2,野球,SEGA,ダイナマイトベースボール,セガ（AM1研）,0,0
1996-09-01,AC,モデル2,,SEGA,セガツーリングカーチャンピオンシップ,セガ（AM分室）,0,0
1996-09-01,AC,モデル3 Step 1.0,FTG,SEGA,バーチャファイター3,セガ（AM2研）,0,0
