発売日,メモリ,容量(bit),価格,ハード,タイトル,ジャンル,ジョブカテゴリ,カウント
1985-10-20,0,0,🚧,SMS,ドロール,ACT,0,0
1985-10-20,0,0,🚧,SMS,チャックンポップ,ACT,0,0
1985-10-20,0,0,🚧,SMS,バンクパニック,ACT,0,0
1985-10-20,0,0,🚧,SMS,ロックンボルト,PZL,0,0
1985-10-20,0,0,🚧,SMS,エレベーターアクション,ACT,0,0
1985-10-20,0,0,🚧,SMS,倉庫番,PZL,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンシップロードランナー,ACT,0,0
1985-10-20,0,0,🚧,SMS,ヒーロー,ACT,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンアイスホッケー,SPT,0,0
1985-10-20,0,0,🚧,SMS,ハングオンII,RAC,0,0
1985-10-20,0,0,🚧,SMS,ボンジャック,ACT,0,0
1985-10-20,0,0,🚧,SMS,ガルケーブ,STG,0,0
1985-10-20,0,0,🚧,SMS,Ｃ-ＳＯ！,ACT,0,0
1985-10-20,0,0,🚧,SMS,忍者プリンセス,ACT,0,0
1985-10-20,0,0,🚧,SMS,スーパータンク,ACT,0,0
1985-10-20,0,0,🚧,SMS,チャンピオン剣道,SPT,0,0
1985-10-20,0,0,🚧,SMS,ワンダーボーイ,ACT,0,0
1985-10-20,0,0,🚧,SMS,チャンピオンビリヤード,SPT,0,0
1985-10-20,0,0,🚧,SMS,ザ・ブラックオニキス,RPG,0,0
1985-10-20,0,0,🚧,SMS,テディボーイブルース,ACT,0,0
1985-10-20,0,0,🚧,SMS,ハングオン,RAC,0,0
1985-10-20,0,0,🚧,SMS,グレートサッカー,SPT,0,0
1985-10-20,0,0,🚧,SMS,不思議のお城ピットポット,ACT,0,0
1985-10-20,0,0,🚧,SMS,グレートベースボール,SPT,0,0
1985-10-20,0,0,🚧,SMS,サテライト７,STG,0,0
1985-10-20,0,0,🚧,SMS,アストロフラッシュ,STG,0,0
1985-10-20,0,0,🚧,SMS,F-16 ファイティングファルコン,STG,0,0
1985-10-20,0,0,🚧,SMS,グレートテニス,SPT,0,0
