発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価)
1990-03-30,FC,256K,SPT,徳間書店,パワーサッカー,"￥4,900","￥5,000代",0,-
1990-03-30,FC,2M,SLG,アスキー,ベストプレープロ野球Ⅱ,"￥6,800","￥7,000代",0,-
1990-03-30,FC,2M,ETC,イマジニア,井崎脩五郎の競馬必勝学,"￥9,800","￥10,000代",0,-
1990-03-30,FC,2M,RPG,コナミ,魍魎戦記MADARA(魔陀羅マダラ),"￥8,500","￥8,500代",0,-
1990-04-06,FC,2M,RPG,アスミック,ディープダンジョンⅣ黒の妖術師,"￥6,500","￥6,500代",0,-
1990-04-06,FC,2M,RPG,ナムコ,デジタルデビル物語女神転生Ⅱ,"￥7,800","￥8,000代",0,33
1990-04-06,FC,1M,ACT,テクモ,忍者龍剣伝Ⅱ暗黒の邪神剣,"￥5,900","￥6,000代",0,-
1990-04-07,FC,1M,RPG,バンダイ,ウルトラマン倶楽部2帰ってきたウルトラマン倶楽部,"￥6,000","￥6,000代",0,-
1990-04-13,FC,1M,SLG,バリエ,ガンヘッド新たなる戦い,"￥6,500","￥6,500代",0,-
1990-04-13,FC,256K,PZL,コナミ,クォース,"￥4,900","￥5,000代",0,-
1990-04-13,FC,2M,RPG,SNK,ゴッドスレイヤーはるか天空のソナタ,"￥7,600","￥7,500代",0,-
1990-04-20,FC,1M,ACT,バンプレスト,SDバトル大相撲平成ヒーロー場所,"￥6,300","￥6,500代",0,-
1990-04-20,FC,1M,ACT,タイトー,パワーブレイザー,"￥5,900","￥6,000代",0,-
1990-04-20,FC,2M,SLG,任天堂,ファイアーエムブレム暗黒竜と光の剣,"￥6,000","￥6,000代",0,-
1990-04-20,FC,1M,ETC,日本物産,黒鉄ヒロシの予想大好き！勝馬伝説,"￥8,000","￥8,000代",0,-
1990-04-27,FC,4M,RPG,スクウェア,ファイナルファンタジーⅢ,"￥8,400","￥8,500代",140,36
1990-05-11,FC,1M,RPG,ピクセル,影狼伝説,"￥6,200","￥6,000代",0,-
1990-05-18,FC,1M,ETC,ハドソン,キャッスルクエスト,"￥4,900","￥5,000代",0,-
1990-05-18,FC,1M,SPT,テクノスジャパン,熱血高校ドッジボール部サッカー編,"￥5,900","￥6,000代",0,-
1990-05-25,FC,4M,RPG,ビクター音楽産業,イースⅡANCIENTYSVANISHEDTHEFINALCHAPTER,"￥7,500","￥7,500代",0,-
1990-05-25,FC,2M,SLG,ケイアミューズメントリース,馬券必勝学ゲートイン,"￥9,800","￥10,000代",0,-
1990-05-29,FC,1M,RPG,ジャレコ,じゃじゃ丸撃魔伝幻の金魔城,"￥5,900","￥6,000代",0,-
1990-06-08,FC,1M,ACT,カプコン,チップとデールの大作戦,"￥5,800","￥6,000代",0,-
1990-06-15,FC,1M,RAC,ビスコ,ダッシュ野郎,"￥5,800","￥6,000代",0,-
1990-06-23,FC,1M,SLG,ナムコ,バトルフリート,"￥5,900","￥6,000代",0,-
1990-06-23,FC,1M,ACT,ナツメ,ファイナルミッション,"￥5,800","￥6,000代",0,-
1990-06-29,FC,2M,SLG,光栄,水滸伝天命の誓い,"￥11,800","￥12,000代",0,-
