発売日,ハード,容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,クロスレビュー(評価)
1990-10-19,FC,1M,ACT,コナミ,悪魔城すぺしゃるぼくドラキュラくん,"￥5,800","￥6,000代",0,-
1990-10-21,FC,1M,SPT,ポニーキャニオン,シャッフルパックカフェ,"￥6,200","￥6,000代",0,-
1990-10-25,FC,1M,ETC,バンダイ,おえかキッズアンパンマンとおえかきしよう,"￥13,800","￥14,000代",0,-
1990-10-26,FC,1M,RAC,A-WAVE,アストロファング,"￥6,700","￥6,500代",0,-
1990-10-26,FC,1M,SPT,サンソフト,なんてったって！！ベースボール,"￥5,900","￥6,000代",0,-
1990-10-26,FC,2M,SLG,カプコン,水島新司の大甲子園,"￥6,500","￥6,500代",0,-
1990-10-27,FC,2M,RPG,バンダイ,ドラゴンボールZ強襲！サイヤ人,"￥7,800","￥8,000代",0,-
1990-10-27,FC,2M,TAB,ココナッツジャパン,パチ夫くん3帰ってきたパチ夫くん,"￥7,980","￥8,000代",0,33
1990-11-02,FC,1M,ACT,九娯貿易,クロスファイヤー,"￥6,200","￥6,000代",0,-
1990-11-02,FC,2M,SLG,光栄,三國志Ⅱ,"￥11,800","￥12,000代",0,30
1990-11-02,FC,1M,ADV,ヘクト,京都財テク殺人事件(山村美紗サスペンスシリーズ),"￥8,500","￥8,500代",0,-
1990-11-10,FC,4M,ADV,ユタカ,ラストハルマゲドン,"￥9,800","￥10,000代",0,-
1990-11-22,FC,256K,PZL,キャラクターソフト,サンリオカーニバル,"￥3,980","￥4,000代",0,-
1990-11-29,FC,1M,ACT,ジャレコ,ふしぎなブロビー-ブロバニアの危機-,"￥5,900","￥6,000代",0,-
1990-11-30,FC,1M,SPT,テクモ,テクモボウル,"￥6,900","￥7,000代",0,-
1990-11-30,FC,1M,SHT,コナミ,パロディウスだ！,"￥5,800","￥6,000代",0,-
1990-11-30,FC,1M,ACT,エポック社,迷宮の達人大迷路,"￥5,800","￥6,000代",0,-
1990-12-07,FC,2M,ACT,コナミ,ティーンエージミュータントニンジャタートルズ,"￥7,000","￥7,000代",0,-
1990-12-07,FC,2M,TAB,アスミック,ぎゅわんぶらあ自己中心派2,"￥6,500","￥6,500代",0,-
1990-12-07,FC,1M,RPG,東宝,タイムズオブロア～失われたメダリオン,"￥5,300","￥5,500代",0,-
1990-12-07,FC,512K,SPT,テクモ,テクモワールドカップサッカー,"￥5,800","￥6,000代",0,-
1990-12-07,FC,1M,ACT,カプコン,パジャマヒーローNEMO,"￥6,200","￥6,000代",0,-
1990-12-07,FC,1M,SPT,ビスコ,グレートボクシングRUSHUP(ラッシュアップ),"￥6,800","￥7,000代",0,-
1990-12-07,FC,1M,ACT,ジャレコ,西遊記ワールドⅡ天上界の魔神,"￥5,600","￥5,500代",0,-
1990-12-07,FC,1M,ACT,フェイス,千代の富士の大銀杏,"￥5,800","￥6,000代",0,-
1990-12-08,FC,2M,ACT,ナムコ,ワギャンランド2,"￥5,800","￥6,000代",0,-
1990-12-12,FC,2M,SLG,光栄,ファミコントップマネジメント,"￥9,800","￥10,000代",0,-
1990-12-13,FC,2M,SLG,アスキー,ベストプレープロ野球'90,"￥6,800","￥7,000代",0,-
1990-12-14,FC,512K,PZL,ハドソン,KLAX(クラックス),"￥5,800","￥6,000代",0,-
