発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント
1996-03-22,35,-,SHT,セガ,パンツァードラグーンツヴァイ,-,1446,0
1996-03-22,-,-,-,MIZUKI,ISTOEZICOジーコの考えるサッカー,-,1648,0
1996-03-22,-,-,-,アトラス,マイ・ベスト・フレンズst.アンドリュー女学園編,-,1649,0
1996-03-22,-,-,-,エレクトロニック・アーツ,ハイオクタン,-,1049,0
1996-03-22,-,-,-,データイースト,水滸演武風雲再起,-,909,0
1996-03-22,-,-,-,ハドソン,空想科学世界ガリバーボーイ,-,15,0
1996-03-22,-,-,-,コーエー,ウイニングポスト2,-,1164,0
1996-03-22,35,-,SPT,セガ,Jリーグビクトリーゴール'96,-,1095,0
1996-03-22,-,-,-,コーエー,エアーマネジメント'96,-,1165,0
1996-03-28,-,-,-,SNK,ザ・キング・オブ・ファイターズ'95,-,910,0
1996-03-29,30,-,SRPG,セガ,ドラゴンフォース,-,16,0
1996-03-29,-,-,-,BMGビクター,ゲックス,-,911,0
1996-03-29,-,-,-,MIZUKI,ルパン三世ザ・マスターファイル,-,1650,0
1996-03-29,-,-,-,アクレイムジャパン,NFLクォーターバッククラブ'96,-,1096,0
1996-03-29,-,-,-,アクレイムジャパン,バーチャフォトスタジオ,-,1651,0
1996-03-29,-,-,-,アクレイムジャパン,モータルコンバット2完全版,-,912,0
1996-03-29,-,-,-,エクシング,ぐっすんおよよS,-,1652,0
1996-03-29,-,-,-,OCC,ホラーツアー,-,1318,0
1996-03-29,-,-,-,コナミ,グラディウスデラックスパック,-,1447,119
1996-03-29,-,-,-,コナミ,スナッチャー,-,1319,0
1996-03-29,-,-,-,ココナッツジャパン,ワールドカップゴルフイン・ハイアットドラドビーチ,-,1097,0
1996-03-29,-,-,-,メイクソフトウェア,麻雀同級生スペシャル,-,1568,0
1996-03-29,-,-,-,メサイヤ,超兄貴究極…男の逆襲,-,1448,0
1996-03-29,-,-,-,コーエー,アンジェリークスペシャル,-,1166,0
1996-03-29,-,-,-,コーエー,三國志英傑伝,-,17,0
1996-03-29,-,-,-,コーエー,信長の野望リターンズ,-,1167,0
1996-03-29,-,-,-,日本システム,麻雀天使エンジェルリップス,-,1569,0
1996-04-05,-,-,-,CRI,2度あることはサンドアール,-,1653,137
1996-04-05,-,-,-,キッド,きゃんきゃんバニープルミエール,-,1321,0
1996-04-05,-,-,-,ギャガ,鉄球TRUEPINBALL,-,1654,0
1996-04-05,-,-,-,ゼネラル・エンタテイメント,ゲームウェア第1号,-,1655,0
1996-04-05,-,-,-,コーエー,七つの秘館,-,1320,0
1996-04-19,-,-,-,BMGビクター,タイタンウォーズ,-,1449,0
1996-04-19,-,-,-,サミー,エンジェルパラダイスVol.1坂木優子恋の予感inHollywood,-,1656,0
1996-04-19,-,-,-,パイ,大冒険セントエルモスの奇跡,-,18,0
1996-04-19,-,-,-,日本クリエイト,サザンアイズ吸精公主,-,1322,0
1996-04-26,31,-,ARPG,セガ,トア精霊王紀伝,-,19,0
1996-04-26,-,-,-,アイマックス,アイレムアーケードクラシックス,-,1657,0
1996-04-26,-,-,-,アイマックス,爆れつハンター,-,1323,0
1996-04-26,-,-,-,アクレイムジャパン,レボリューションX,-,1450,0
1996-04-26,-,-,-,アトラス,首領蜂,-,1451,0
1996-04-26,-,-,-,アトラス,真・女神転生デビルサマナー悪魔全書,-,1658,0
1996-04-26,-,-,-,ヴァージンインタラクティブ,ゲンウォー,-,1452,0
1996-04-26,30,-,ADV,エルフ,野々村病院の人々,-,1324,0
1996-04-26,-,-,-,カプコン,ロックマンX3,-,913,0
1996-04-26,30,-,TBL,ジャレコ,アイドル雀士スーチーパイ2,-,1570,0
1996-04-26,-,-,-,ソフトビジョンインターナショナル,ジョニー・バズーカ,-,914,0
1996-04-26,-,-,-,翔泳社,美少女バラエティゲームラピュラスパニック,-,1659,0
1996-05-03,-,-,-,ソネット,ときめき麻雀グラフィティ年下の天使たち,-,1571,0
1996-05-17,-,-,-,ウイネット,キュービックギャラリー,-,1660,0
1996-05-17,-,-,-,セタ,スーパーリアル麻雀P6,-,1572,0
1996-05-17,-,-,-,ビクター,慶応遊撃隊活劇編,-,915,0
